mssv,namsinh,gioitinh,hieusotuoi,khoahoc,lopsh,hedt,dien_tt,loaitruong,khuvuc,xeploai_diemtt,avxl
B3F16D5DXPvAibaEXe/agc6/owW5CGwRRuccquwf,1998.0,1.0,0.0,11.0,KHMT0001,CQUI,0,THPT,Khu vực 2 NT,2,ENGBT
C2218479XPvAibaEXe/agc6/owW5CH4478G8f1TP,1998.0,1.0,0.0,11.0,KTPM0001,CLC,0,THPT,Khu vực 2,3,ENGBT
DBE26D99XPvAibaEXe/agc6/owW5CG5kROb/FsH1,1998.0,1.0,0.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 2,3,ENG01
EA6B1CE3XPvAibaEXe/agc6/owW5CCUBcx4z66Gh,1998.0,1.0,0.0,11.0,KTPM0001,CQUI,0,GDTX,Khu vực 2 NT,1,ENG01
D15AF9D2XPvAibaEXe/agc6/owW5CCEx4CPDleFb,1998.0,1.0,0.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 1,3,ENG01
89D586F5XPvAibaEXe/HQN1XeSL1BEMXBfk6KF/O,1998.0,0.0,0.0,11.0,CNTT0001,CQUI,0,THPT,Khu vực 2,2,ENGBT
359C901EXPvAibaEXe/HQN1XeSL1BLJJHKbqsbhD,1998.0,1.0,0.0,11.0,TMĐT2016,CQUI,1,THPT,Khu vực 3,1,ENG02
A1C2794FXPvAibaEXe/HQN1XeSL1BLvkOiDIGFdf,1998.0,1.0,0.0,11.0,HTTT2016,CQUI,0,Chuyên,Khu vực 1,3,ENG01
FED40161XPvAibaEXe/HQN1XeSL1BMtMCujx8fTx,1998.0,1.0,0.0,11.0,CNTT0001,CQUI,0,THPT,Khu vực 1,2,ENG01
C663E314XPvAibaEXe/HQN1XeSL1BKv/LohqQ+0J,1998.0,1.0,0.0,11.0,HTTT0001,CQUI,0,THPT,Khu vực 2,2,ENG01
43785D1EXPvAibaEXe/HQN1XeSL1BC0VidWxITbL,1998.0,1.0,0.0,11.0,PMCL2016.1,CLC,0,THPT,Khu vực 1,3,ENG01
7EF6A3EAXPvAibaEXe/HQN1XeSL1BEWlvhARqyCL,1998.0,1.0,0.0,11.0,PMCL2016.1,CLC,0,THPT,Khu vực 1,2,ENG02
CB17F8F5XPvAibaEXe+3sZoWnetaj3mUhX0PKRMe,1998.0,0.0,0.0,11.0,HTTT0001,CQUI,0,THPT,Khu vực 2 NT,3,ENGBT
ADC5F05DXPvAibaEXe+3sZoWnetajz661V0/hMR1,1997.0,1.0,-1.0,11.0,KHMT0001,CQUI,0,THPT,Khu vực 1,2,ENGBT
08182AD5XPvAibaEXe+3sZoWnetaj2dDhEcMJno9,1998.0,1.0,0.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 2 NT,3,ENGBT
1666439CXPvAibaEXe+3sZoWnetaj3GtIZaMXKq8,1997.0,1.0,-1.0,11.0,HTTT0001,CQUI,0,THPT,Khu vực 1,3,ENG01
68481D94XPvAibaEXe+3sZoWnetaj+cTym+QdnwT,1998.0,1.0,0.0,11.0,KTMT0001,CQUI,0,THPT,Khu vực 2 NT,3,ENGBT
5B8D44C7XPvAibaEXe+3sZoWnetaj5PDXb16ueWC,1998.0,1.0,0.0,11.0,HTTT0001,CQUI,0,THPT,Khu vực 2 NT,3,ENG01
630518E0XPvAibaEXe8UGNMJasZG8BIILT9LfCMb,1998.0,1.0,0.0,11.0,HTCL2016.1,CLC,0,THPT,Khu vực 3,3,ENG01
006E432EXPvAibaEXe8UGNMJasZG8PBqBoa4ReWL,1998.0,1.0,0.0,11.0,HTTT0001,CLC,0,THPT,Khu vực 2 NT,4,ENGBT
D99A9DE5XPvAibaEXe8UGNMJasZG8JEbdfJ7sGlX,1998.0,1.0,0.0,11.0,HTTT0001,CQUI,0,THPT,Khu vực 2,3,ENG01
5B4A6DFBXPvAibaEXe8UGNMJasZG8Ewtb9AA64WW,1998.0,1.0,0.0,11.0,KTPM0001,CQUI,0,THPT,Khu vực 3,2,ENG01
48AB0267XPvAibaEXe8UGNMJasZG8EzhKtHwzjmt,1997.0,1.0,-1.0,11.0,KTMT0001,CQUI,0,THPT,Khu vực 1,3,ENG01
9AFD5C84XPvAibaEXe//Z7+CGDQLoHD+WJYS0Uvi,1998.0,1.0,0.0,11.0,HTTT0001,CQUI,0,THPT,Khu vực 2,3,ENG02
FB701925XPvAibaEXe//Z7+CGDQLoBEAU7nawcwv,1998.0,1.0,0.0,11.0,KTPM0001,CQUI,1,THPT,Khu vực 2,1,ENG01
15A46F5AXPvAibaEXe//Z7+CGDQLoGJZlAbDnoO3,1998.0,1.0,0.0,11.0,KTPM0001,CQUI,1,THPT,Khu vực 2,1,ENG01
36622C97XPvAibaEXe//Z7+CGDQLoNhIq+lX3ALS,1998.0,1.0,0.0,11.0,KTMT0001,CQUI,0,THPT,Khu vực 2,3,ENG01
7187D170XPvAibaEXe9xkK/YA3rY8BBJ0g/oZIh3,1998.0,1.0,0.0,11.0,KTPM0001,CQUI,3,Chuyên,Khu vực 2,4,ENG01
5393D300XPvAibaEXe9xkK/YA3rY8K1sgmVMMbVh,1998.0,1.0,0.0,11.0,KTPM0001,CLC,0,THPT,Khu vực 3,3,ENG01
