id,mssv,tinhtrang,lydo,hocky,namhoc,soqd,ngayqd
7729,231393B0XPvAibaEXe+xw+0gOjOR0PK5J6OAawo7,2.0,Bị cảnh cáo vì ĐTB 2 học kỳ liên tiếp < 4,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7730,1A57D711XPvAibaEXe8dZIB3odxynish6zKkFVzW,2.0,Bị cảnh cáo vì:\n- ĐTB học kỳ 1 < 3\n- Đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7731,8136D1C7XPvAibaEXe9RBNO8knVPDyLHjWaMh4f3,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7732,18D2231EXPvAibaEXe8LX4hhYKrFZihlc2c5X1wP,2.0,Bị cảnh cáo vì:\n- ĐTB học kỳ 1 < 3\n- Đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7733,6EA715E1XPvAibaEXe9ESTQu9OOcIFrpC/9jWYjR,2.0,Bị cảnh cáo vì: \n- ĐTB 2 học kỳ liên tiếp < 4\n- Đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7734,E3B61324XPvAibaEXe+E43ovk5Cnp3VN23jDQPXu,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7735,FDBF2427XPvAibaEXe+LbmSTUWVMuN7/piYWU437,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7736,61465A87XPvAibaEXe/BLy1WUS+NVo66untTPac6,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7737,DE53507FXPvAibaEXe+fEAEfw3o+Ko6TvTSgijy3,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7738,C1C2D49CXPvAibaEXe+5AEinM7he3lYo4Yh3wzso,2.0,Bị cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7754,8219EA1DXPvAibaEXe/PGAaNNWvbUAwbuGIAPcg8,2.0,Bị Cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7755,9A277123XPvAibaEXe9X5bpEKoa0mmVF3uzIq5Oi,2.0,Bị Cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7756,2C674C46XPvAibaEXe8Y+/3uR2PkTOGNxs8OFvnz,2.0,Bị Cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7757,6F3C0D69XPvAibaEXe+Y5CB/5gt3MG008Osd7bBm,2.0,Bị cảnh cáo vì đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7760,6414F481XPvAibaEXe/7sxkigC7f53KmBMGfVHCX,2.0,Bị Cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7761,07604F47XPvAibaEXe+6MN9FoW2mqQgwnVqNRjxt,2.0,Bị Cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7762,639ECEE5XPvAibaEXe8wMpKQnQ7j6I/wuWdLE4Gg,2.0,Bị Cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7763,931C7551XPvAibaEXe9ysTifnGoMwRbIrVzkrPrw,2.0,Bị cảnh cáo vì : \n-ĐTB học kỳ 1 < 3\n-Đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7764,6777A5A5XPvAibaEXe/BqA0y8R3TRZDcJooW2geh,2.0,Bị Cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7765,BAA21E56XPvAibaEXe9Xnw4t0GPgx5ergjwY9IdE,2.0,Bị Cảnh cáo vì ĐTB học kỳ 1 < 3,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7766,5EA0E379XPvAibaEXe9Xnw4t0GPgx3ZLzmzrJTA6,2.0,Bị cảnh cáo vì đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7767,D6DA2754XPvAibaEXe9tdh69VvZt14BfENMelpA0,2.0,BTH được Hội đồng xem xét hạ mức,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
7768,D7DF9F37XPvAibaEXe9tdh69VvZt11DfSs5C1fSb,2.0,Bị cảnh cáo vì : \n-ĐTB học kỳ 1 < 3\n-Đóng học phí trễ,2.0,2016.0,189/QĐ-ĐHCNTT,2017-04-18
